GeoName,StateAbbrev,HPI_med,HPI_med_annual_change,Med_house_count,grant_amount,number_of_properties,number_of_grants,protection_grant,accommodation_grant,relocation_grant,planning_grant,protection_amount,accommodation_amount,relocation_amount,planning_amount,unemployment_rate,population,fips,Schools,LawEnforcement,FireEMS,HospitalMedical,Census_Division,amenity_scale,amenity_rank,household_income,hh_income_pct_state_total,Mean_Jan_Temp,Mean_Jul_Temp,Mean_rel_humidity,pct_no_hs,pct_hs_only,pct_some_college,pct_bachelors_or_higher,white_only,black_only,asian_only,native_american_only,multiracial,hispanic,Inundated_2020,Inundated_2100,FP100_2020,FP100_2100,July_avg_temp_19,July_1901_2000_avg,X1,state_fips,Protection,Hardened_Structures_Limited,Accommodation,Retreat,Setback,State_Permitting_Authority,State_Climate_Policy,Years_since_policy_enacted,Standardized_Climate_data_expectations,Emphasized_green_protection,Climate_Policy_Mainstreaming,Years_since_first_state_climate_report,RPS,CAI,Barriers,grants_pc,grant_money_pc,pct_black,pct_hispanic,pct_white,pct_native_american,pct_asian,FP100_change_rate,July_avg_med,region
Barnstable County,MA,773.3299999999999,3.67,162304.5,33765.498999999996,0.1,0.45,0.1,0.1,0,0.15,5972.6,9153.05,0,10656.249,5.925,215946.5,25001,89,19,44,2,1,1.52,4,82686,96.5,31.4,72.7,66,6.35,25.45,29.65,38.5,203877,4628,2392,1501,3478,4687,3375,20117,31776,47979,73.7,69.6,10,25,1,1,1,0,0,1,0,NA,1,0,2,10,1,2,"resources, public perceptions, political patisanship, lack of planning horizon",2.083849471975698e-6,0.15636048280476875,2.1431234125118954,2.170444994477799,94.41088417733096,0.695079568319005,1.107681763770193,202.5375,71.65,Northeast
Bay County,FL,480.62,4.375,101067,650278.3234999999,1.85,2.2,0,1.3,0.5,0.1,0,346662.349,110163.078,5273.8465,5.8,168335,12005,53,15,32,6,5,2.15,4,58376,98.6,53.8,81.9,74,14.15,30.8,34.3,20.7,140898,18408,3441,1212,4870,8107,3593,65603,258490,608810,83,81.1,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",1.3069177532895716e-5,3.86300129800695,10.935337273888377,4.8159919208720705,83.70095345590639,0.7199928713577094,2.044138176849734,4379,82.05,South
Beaufort County,NC,240.735,1.855,25648.5,514173.8925,5.8,1.2,0,0.75,0.4,0.05,0,352060.1925,159623.7,2490,7.6,47044.5,37013,20,5,22,5,5,0.02,3,49410,86.1,42.3,79.4,78,18.65,33.15,29.9,18.3,34176,12395,190,408,590,3166,1273,19835,27033,39372,81.1,79,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,2.5507763925644868e-5,10.92952188884992,26.347394488197345,6.729798382382637,72.64611166023658,0.8672639734719255,0.4038729288227104,154.2375,81.1,East
Beaufort County,SC,478.055,3.7,95352,81394.5205,0.3,0.5,0,0.35,0,0.05,0,71816.67050000001,0,1250,5.33,161283,45013,46,7,37,12,5,1.66,4,73890,131.1,49.8,80.7,79,9.7,23.25,29.85,37.2,124690,31942,2020,708,2859,19567,15891,286889,111198,523065,83.1,81.1,18,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities,3.1001407463898863e-6,0.5046689390698338,19.80493914423715,12.132090796922181,77.31130993347098,0.4389799296888079,1.2524568615415141,5148.3375,81.1,East
Bergen County,NJ,803.1,3.115,354955,894992.55,1.25,3.25,0.05,0.25,0.15,0.1,206380.55,21185.5,268446.45,29166.65,4.945,903301.5,34003,449,77,235,9,2,1.2,4,107971,125.9,30.3,75.9,60,10.45,24.45,21.3,43.75,694514,57909,133573,3377,15696,145281,24342,306608,252691,578848,78.6,73.7,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,3.597912767774658e-6,0.9908015762179073,6.4108163221250045,16.083334302002157,76.88617809225381,0.37385081282384675,14.787200065537364,4076.9625,76.15,Northeast
Berkeley County,SC,329.03,5.140000000000001,79113.5,42015.8,0,0.3,0,0,0,0,0,0,0,0,5.79,177286,45015,52,8,56,3,5,0.71,4,68690,121.9,47.4,80.3,79,15.2,31.85,33.2,19.7,122813,45180,4183,1314,4328,10755,3723,79337,34248,165694,82.4,80.6,18,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities,1.6921809956792978e-6,0.23699446092754084,25.484245794930228,6.066468869510283,69.27394154078719,0.7411752761075325,2.3594643683088345,1643.075,81.5,East
Bertie County,NC,168.165,2.12,9802.5,337605.1,3.55,0.25,0,0.1,0.15,0,0,96474.6,241130.5,0,7.92,20037.5,37015,12,5,16,3,5,-0.3,3,37899,66,42.5,79,78,28.9,37.4,22.45,11.2,7560,13317,103,97,205,267,60,321,1189,938,80.8,78.1,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,1.2476606363069245e-5,16.848663755458514,66.46038677479726,1.3325015595757954,37.7292576419214,0.4840923268870867,0.5140361821584529,3.1375,79.44999999999999,East
Brantley County,GA,107.89,4.53,8151,2678.5714285714284,0,0.14285714285714285,0,0.14285714285714285,0,0,0,2678.5714285714284,0,0,6.8999999999999995,18437,13025,7,5,7,0,5,0.05,3,44680,72.1,51.9,81.1,74,24.3,46,22.1,7.55,17526,541,38,70,236,343,0,3,5,12,82.3,80.5,6,13,1,0,0,0,2,1,0,NA,0,1,1,0,0,1,"resources, state and local political differences",7.748394145313383e-6,0.14528239022462594,2.9343168628301783,1.8603894342897436,95.05884905353366,0.3796713131203558,0.206107284265336,0.0875,81.4,South
Brazoria County,TX,244.32999999999998,3.8200000000000003,128471.5,3642286.1,13.2,1.4,0,0.4,0.3,0.2,0,2725732.25,851346.7,18871.15,5.845,311832,48039,116,34,50,3,7,1.31,4,83704,130.7,53.6,82.3,64,16.3,26.35,32.55,24.8,249084,38737,17655,2402,5272,86643,2127,136799,46899,492604,84.4,82.6,19,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences",4.489596962466969e-6,11.680283293568332,12.422394109648785,27.78515354421612,79.87762641422304,0.7702865645604043,5.661702455168167,5571.3125,83.5,South
Brevard County,FL,363.005,8.445,273540,1512423.299,3.8,2.25,0,1.35,0.1,0,0,481342.199,38352.25,0,6.07,543171.5,12009,196,33,79,10,5,3.93,5,57582,97.3,61.2,81.8,79,10.75,28.6,33.85,26.9,459974,56232,11741,2396,12995,43943,5650,183836,207077,734185,83,80.9,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",4.142338101317908e-6,2.7844305141193897,10.352531382813716,8.090078363831681,84.68301448069349,0.4411129818114537,2.1615640732254917,6588.85,81.95,South
Bristol County,MA,697.485,4.27,233082.5,423348.3,0,0.5,0,0.1,0,0.3,0,391349.6,0,15549.5,6.59,548245,25005,241,28,78,8,1,0.54,4,69857,81.5,27.5,71.4,66,20.55,29.75,25.4,24.3,501818,22728,10626,3354,9722,33020,8548,27785,41971,63997,75.6,71,10,25,1,1,1,0,0,1,0,NA,1,0,2,10,1,2,"resources, public perceptions, political patisanship, lack of planning horizon",9.12001021441144e-7,0.7721881640507438,4.145591843062864,6.022854745597315,91.5317057155104,0.6117702851827194,1.9381845707667194,275.325,73.5,Northeast
Bristol County,RI,731.345,3.9399999999999995,20946,62718.4,0.15,0.5,0.05,0.05,0,0.2,5888,3625,0,3539.8,5.68,49946.5,44001,23,3,14,0,1,1.36,4,87926,124.9,28.4,72.1,67,14.2,21.45,22.75,41.65,47963,439,729,85,655,989,1138,11313,29347,39449,76,71.4,17,44,1,1,1,0,2,1,1,7,0,1,2,3,1,3,resources,1.0010711461263552e-5,1.255711611424224,0.8789404662989398,1.9801187270379308,96.02875076331675,0.1701820948414804,1.459561731052226,126.275,73.5,Northeast
Bronx County,NY,744.275,6,522810,3674805.6,0,0.2,0.05,0,0,0.05,507451.45,0,0,43630.9,8.745,1381779.5,36005,472,21,37,17,2,1.04,4,41470,57.6,32.2,76.6,63,32.45,26.85,23.3,17.35,630493,607289,57062,41052,48945,741413,3222,53273,62816,359475,79.8,75.1,14,36,1,1,1,0,2,1,0,2,0,1,2,11,1,3,"politics, local decision-making favored",1.4474089389804958e-7,2.6594732372277923,43.94977635722632,53.656390183817315,45.629060208231486,2.9709515881513657,4.129602443805252,3708.2375,77.44999999999999,Northeast
Broward County,FL,388.115,8.19,816794.5,7412268.2535,5.55,5.65,0.2,3.9,0,0.1,510619.39,4705654.9635,0,43496.3,5.495,1749849.5,12011,492,60,113,31,5,4.98,6,61429,103.8,66.8,82.2,72,14.5,27.85,29.15,28.45,1169470,478871,59550,6114,33964,438247,22674,2049765,419285,11456351,84,81.4,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",3.228849109594854e-6,4.235946150511801,27.3664106541734,25.044839570488776,66.83260474686537,0.34940147709845903,3.403149813741125,137963.325,82.7,South
Brunswick County,NC,380.46500000000003,3.855,83407.5,94759.25,0.45,0.45,0.05,0.15,0.1,0.1,709.2,11471.3,76023.5,1400,7.155,106923,37019,26,13,42,4,5,1.12,4,63712,111,47,79.8,78,15.2,30.55,31.25,23,91787,12437,605,893,1704,5549,3202,48052,19596,87672,81.1,79.3,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,4.208636121320951e-6,0.8862382275095162,11.631734986859703,5.189715963824434,85.84401859281913,0.8351804569643575,0.5658277451998167,850.95,80.19999999999999,East
Bryan County,GA,181.905,3.96,13202,810.95,0,0.05,0,0,0,0.05,0,0,0,810.95,5.13,30182,13029,13,7,9,0,5,0.7,4,79296,128,49.5,80,74,14.7,28.55,30.5,26.2,24553,4349,504,107,715,1336,4814,52446,13514,114739,83,81.4,6,13,1,0,0,0,2,1,0,NA,0,1,1,0,0,1,"resources, state and local political differences",1.6566165264064676e-6,0.026868663441786497,14.409250546683452,4.426479358558081,81.34981114571599,0.354515936650984,1.669869458617719,1265.3125,82.2,South
Burlington County,NJ,551.655,1.81,177758,249668,0.25,0.6,0.05,0.15,0,0.05,74289.2,63127.9,0,4793.25,5.35,446831.5,34005,204,44,128,7,2,-1.3,3,88443,103.1,33,77.3,60,9.55,29.6,27.6,33.2,339076,77123,19915,1235,11322,28831,13754,46893,64269,92769,79.1,74.7,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,1.3427880532146905e-6,0.5587520127833423,17.259973838012762,6.452320393705458,75.88453365530407,0.27639054095335713,4.456937346628427,356.25,76.9,Northeast
Calcasieu Parish,LA,210.82,2.625,86699,1876724.067,10,2.55,0.05,1,0.5,0.2,16318.5,897832.7675,498558.45,22800,5.6,192053,22019,97,20,38,30,7,-0.67,3,53050,103.8,52.3,82.4,70,18.1,34.35,28.05,19.6,138069,48454,2130,980,3120,4945,17992,89872,80837,453213,82,82.3,7,22,1,0,1,1,1,1,0,NA,0,0,1,0,0,1,"resources, rural vs. urban divides (politics)",1.3277584833353292e-5,9.771907062113062,25.229493941776486,2.574810078467923,71.89109256299042,0.5102758092818128,1.109068850785981,4654.7,82.15,South
Calhoun County,TX,179.95,2.9749999999999996,11840,64878.05,0,0.15,0,0,0,0,0,0,0,0,6.015,21301.5,48057,11,5,9,1,7,1.86,4,55909,87.3,54.9,83.7,64,25.85,33.05,27.95,13.15,19449,622,962,132,216,9922,160,5409,1736,18382,85.1,83.2,19,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences",7.041757622702626e-6,3.045703354223881,2.9199821608806893,46.57887942163698,91.30342933596226,0.6196746707978312,4.516113888693284,208.075,84.15,South
Calvert County,MD,395.36,2.3600000000000003,34656,374575.8,0.9,0.65,0.05,0.2,0.2,0.15,10738,66390.85,283039.05,6057.9,4.255,88616,24009,34,4,10,3,5,0.65,4,111056,128.2,35.9,76.7,72,9.2,32.35,31,27.45,72777,12033,1287,350,2288,2437,979,3967,3604,9967,80.3,76.7,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",7.335018506815925e-6,4.22695450031597,13.578811952694773,2.7500677078631397,82.12625259546809,0.394962534982396,1.452333664349553,79.5375,78.5,East
Camden County,GA,180.825,4.07,21579.5,58255.1,0.3,0.4,0,0.15,0.15,0.1,0,12734.4,41514.8,4005.9,5.795,50163.5,13039,14,6,16,1,5,1.88,4,58552,94.5,54.1,82.3,74,12.7,32.7,34.7,19.95,38128,9918,739,279,1444,2590,2924,12383,13608,30061,82.3,80.9,6,13,1,0,0,0,2,1,0,NA,0,1,1,0,0,1,"resources, state and local political differences",7.97392526438546e-6,1.1613045341732535,19.771347693043747,5.163116608689585,76.0074556201222,0.5561812871908858,1.4731826925952136,205.6625,80.1,South
Camden County,NC,217.29,2.6550000000000002,4183.5,73536.4,0.4,0.15,0,0.05,0.1,0,0,16357.15,57179.25,0,5.315,9951,37029,5,1,3,0,5,0.42,4,69610,121.3,42.3,78.8,78,15.7,31.7,35.95,16.65,8270,1325,151,37,197,215,1710,24826,25888,40608,80.6,77.9,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,1.507386192342478e-5,7.389850266304894,13.315244699025225,2.160586875690885,83.10722540448197,0.37182192744447795,1.5174354336247613,184,80.1,East
Camden County,NJ,458.385,2.045,205844.5,278287.85,1.5,0.35,0.05,0,0.05,0,6519.95,0,153311.25,0,6.555,509235.5,34007,259,41,108,10,2,-1.15,3,73168,85.3,32.3,76.8,60,15.5,30.8,25.4,28.25,365262,107647,26927,2968,10787,73124,13868,55596,85903,105458,79.6,75.3,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,6.873047931654411e-7,0.5464816376705866,21.138942591394354,14.35956448440849,71.72752096034152,0.582834464604294,5.28773033301881,244.4375,80.1,Northeast
Cameron County,TX,257.32500000000005,2.4749999999999996,147564,1780438.6239999998,0.65,1.45,0.2,0.4,0.05,0.2,346958.45,547235.7,51514.7,15502.5,8.115,403966.5,48061,182,31,32,11,7,2.46,5,40893,63.9,60.3,84.4,63,38.45,23.25,23,15.35,396590,2578,2925,2329,1796,357747,2126,18969,35067,71762,86.5,84.3,19,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences",3.5894065473250875e-6,4.407391761445565,0.6381717295864879,88.55858097144194,98.17398224852803,0.5765329550841468,0.7240699414431643,458.6875,85.4,South
Cameron Parish,LA,157.49,2.835,3937,961634.85,4,0.45,0.1,0.3,0,0.05,407258.35,550241.5,0,4135,4.865,6993,22023,6,1,12,1,7,0.77,4,60317,118,51.4,81.8,70,23.6,41.55,24.6,10.3,6631,119,6,36,47,154,4253,31469,29315,35472,82.6,82.5,7,22,1,0,1,1,1,1,0,NA,0,0,1,0,0,1,"resources, rural vs. urban divides (politics)",6.435006435006435e-5,137.51392106392106,1.7017017017017018,2.2022022022022023,94.82339482339482,0.5148005148005148,0.0858000858000858,76.9625,82.55,South
Cape May County,NJ,678.5999999999999,2.16,98954,1696696.398,11.75,1.85,0.1,0.75,0,0.25,461440.35,1082475.3005,0,50085.7975,9.57,97225,34009,43,21,69,1,2,0.07,4,66565,77.6,32.7,75.1,74,12.8,34.15,25.6,27.4,89627,4892,873,282,1590,6054,5374,67425,115758,109373,78.3,74,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,1.9028027770635124e-5,17.451235772692208,5.031627667780921,6.226793520185137,92.18513756749807,0.29004885574697864,0.8979172023656466,79.8125,76.15,Northeast
Caroline County,MD,177.89999999999998,2.12,13535,12772.654,0.1,0.2,0,0,0.05,0.1,0,0,3350,3172.654,5.525,32635.5,24011,12,7,7,3,5,-1.68,3,60143,69.4,34.9,77.1,72,20.35,40.95,23.45,15.25,27256,4631,202,250,724,1816,215,727,1147,1323,80.2,76,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",6.128295874124803e-6,0.3913730140491183,14.190069096535982,5.564492653705321,83.51641617257282,0.7660369842656003,0.6189578832866051,2.2,78.15,East
Caroline County,VA,168.925,4.5600000000000005,12073,5805.1,0,0.05,0,0,0,0.05,0,0,0,5805.1,5.115,28449,51033,7,5,11,0,5,-1.22,3,64647,84.5,37.5,77.5,72,21.8,37.7,24.55,16,18933,8410,190,218,781,959,5,90,224,295,79.8,76.5,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",1.7575310204225106e-6,0.20405286653309432,29.561671763506624,3.370944497170375,66.55066961931878,0.7662835249042145,0.6678617877605539,0.8875,78.15,East
Carteret County,NC,281.02,3.84,49358.5,68986,0.6,0.25,0,0.2,0,0.05,0,68733.95,0,252.05,5.91,66185,37031,25,13,33,8,5,1.22,4,60058,104.7,45,79.6,78,13.15,27.6,34.75,24.45,60142,4095,598,346,1283,2241,9136,84993,56985,159208,82,79.3,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,3.7772909269471935e-6,1.0423207675455164,6.187202538339503,3.3859635869154645,90.86953237138324,0.5227770642894916,0.9035279897257686,1277.7875,80.65,East
Cecil County,MD,386.005,2.95,42495.5,132257.5,0.95,0.5,0,0.15,0.2,0.05,0,9452.1,60741.95,2544.75,5.695,100990.5,24015,41,11,22,4,5,0.1,4,75307,86.9,32.6,76.1,65,14.65,37,28.1,20.15,91179,6405,1120,366,2038,3407,0,0,0,0,78.7,75.4,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",4.950960733930419e-6,1.309603378535605,6.3421807001648665,3.3735846441001875,90.28472975180833,0.3624103257237067,1.109015204400414,0,77.05000000000001,East
Chambers County,TX,221.75,3.865,14746,164500.5,0.05,0.15,0,0.05,0,0.05,0,9080.5,0,1350,6.225,34843,48071,14,10,8,2,7,1.57,4,93351,145.8,53.9,83.2,64,17.3,29.75,35.6,17.4,30858,3005,367,383,483,6635,1715,29121,13796,58403,83.1,82.5,19,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences",4.305025399649858e-6,4.72119220503401,8.624400883965215,19.042562351117873,88.56298252159688,1.099216485377264,1.0532962144476652,557.5875,82.8,South
Charles City County,VA,157.91000000000003,1.605,3330.5,0,0,0,0,0,0,0,0,0,0,0,5.525,7055,51036,3,1,3,0,5,0.59,4,56465,73.8,40.5,79.1,72,27.3,36.45,23.65,12.6,2994,3532,25,519,185,88,40,177,467,664,81,78.5,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",0,0,50.063784549964566,1.2473423104181431,42.43798724309001,7.356484762579731,0.3543586109142452,2.4625,79.75,East
Charles County,MD,432.28999999999996,2.94,58441.5,180717.4,0.15,0.35,0,0.1,0.05,0.1,0,26942.05,12723.7,8338,4.445,145981.5,24017,53,8,21,7,5,0.55,4,102510,118.3,35.7,76.4,72,10.5,32.55,32.55,24.45,75274,60619,4466,1036,5149,6259,241,3197,4035,11384,80.8,76.8,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",2.3975640748999014e-6,1.2379472741409014,41.52512475895918,4.287529584228138,51.56406804971863,0.709678966170371,3.0592917595722744,91.8625,78.8,East
Charleston County,SC,659.715,5.265,179569,2604319.0445,2.4,2.3,0.2,0.85,0.3,0.2,113050.7145,481453.2,669359.55,22465.35,5.24,348867.5,45019,132,29,78,30,5,1.45,4,70980,125.9,50,81.4,79,13.4,22.8,26.55,37.15,233364,105143,4895,1623,5162,18877,26151,822701,374083,1909636,82.2,80.8,18,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities,6.592760861931822e-6,7.465066377636208,30.13837631765642,5.410936816986392,66.8918715558199,0.4652196034311021,1.4031114964850553,19194.4125,81.5,East
Charlotte County,FL,284.825,8.255,102156.5,844176.65,3.5,1.95,0,0.85,0.05,0,0,112034.45,5341.3,0,6.505,159872,12015,35,9,28,4,5,5.1,6,54756,92.5,64,82.2,72,13.65,35.15,30.75,20.5,145937,9355,1977,454,2247,9213,3687,210656,88766,701029,83.5,81.6,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",1.2197257806244996e-5,5.280328325160128,5.851556244995996,5.76273518815052,91.28365192153723,0.2839771817453963,1.2366142914331464,7653.2875,82.55,South
Chatham County,GA,448.96500000000003,5.215,123149,1198074.3395,7.2,1.45,0,0.35,1,0.05,0,121859.1,867246.7395,3200,5.715,263960.5,13051,99,25,37,11,5,1.76,4,57122,92.2,49.9,81.1,74,14.95,25.55,30.2,29.3,145132,107382,6520,884,5194,14370,26853,372271,135964,746691,83.3,81.3,6,13,1,0,0,0,2,1,0,NA,0,1,1,0,0,1,"resources, state and local political differences",5.493246148571471e-6,4.5388394835590935,40.68108675351047,5.443996355515314,54.98246896789482,0.33489859278187456,2.4700665440473104,7634.0875,82.3,South
